[4/21/21 4:08 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'sdafdsfdsa' in 'where clause'>
[4/21/21 4:08 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'safddsafdsa' in 'where clause'>
[4/21/21 4:09 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'fdsads' in 'where clause'>
[4/21/21 4:10 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dsfsdafads' in 'where clause'>
[4/21/21 4:12 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'lkwjdlkjlkj' in 'where clause'>
[4/21/21 4:12 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'kjlkjkljlkj' in 'where clause'>
[4/21/21 4:13 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'kljlkjlkj' in 'where clause'>
[4/21/21 4:15 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'sddsfdsa' in 'where clause'>
[4/21/21 4:15 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dsffdafdsa' in 'where clause'>
[4/21/21 4:15 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'sfdfdsa' in 'where clause'>
[4/21/21 4:15 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dsfdsadsa' in 'where clause'>
[4/21/21 4:16 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dsfdsadsa' in 'where clause'>
[4/21/21 4:16 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'dfsfdsa' in 'where clause'>
[4/21/21 4:22 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'hunter' in 'where clause'>
[4/21/21 4:23 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'Hunter' in 'where clause'>
[4/21/21 4:24 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'Hunter' in 'where clause'>
[4/21/21 4:25 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'Hunter' in 'where clause'>
[4/21/21 4:29 PM]|Worker|getSelectQueryResult|Error|NOTAG|null<SQL Exception: 1054: Unknown column 'Hunter' in 'where clause'>
